,streams (int),speechiness_%,instrumentalness_%,liveness_%,acousticness_%,energy_%,valence_%,danceability_%,bpm,in_spotify_charts,in_spotify_playlists,artist_count,artist(s)_name,mode
352,363472647.0,23,0,29,27,94,78,59,100,17,892,1,['NewJeans'],Minor
353,372476382.0,3,0,13,2,65,49,59,100,0,3909,1,['Lady Gaga'],Minor
354,380726517.0,5,0,21,42,70,82,87,132,15,3645,2,"['Ozuna', 'Shakira']",Minor
355,56533272.0,3,0,26,10,67,48,49,142,0,282,1,['Morgan Wallen'],Major
356,175399345.0,7,0,21,25,63,96,72,176,22,888,1,['Quevedo'],Minor
357,203221468.0,3,0,14,49,70,51,53,140,4,968,1,['Morgan Wallen'],Major
358,1624165576.0,6,0,32,1,90,40,55,105,6,25065,1,['Linkin Park'],Minor
359,134294498.0,3,0,35,75,77,97,81,135,4,531,1,['Leo Santana'],Major
360,70069745.0,4,0,12,30,59,61,82,128,0,242,1,['Treyce'],Minor
361,609293408.0,7,0,12,12,69,43,74,101,14,5281,2,"['Post Malone', 'Doja Cat']",Major
362,671365962.0,5,0,14,7,50,43,88,122,30,2590,1,['Bad Bunny'],Major
363,362361576.0,13,12,10,80,56,49,76,105,34,1769,1,['Quevedo'],Minor
364,93587665.0,33,0,11,73,36,40,53,83,4,454,2,"['MC Xenon', 'Os Gemeos da Putaria']",Major
365,1223481149.0,28,0,42,24,76,59,72,77,7,6180,4,"['Imagine Dragons', 'League of Legends', 'JID', 'Arcane']",Minor
366,1022258230.0,26,0,11,78,25,18,75,140,11,3600,1,['XXXTENTACION'],Minor
367,263453310.0,5,0,92,31,95,72,65,158,6,1254,2,"['Israel & Rodolffo', 'Ana Castela']",Major
368,1435127549.0,32,0,11,15,65,43,75,176,31,6398,2,"['J Balvin', 'Bad Bunny']",Major
369,236857112.0,2,0,5,56,57,88,73,98,15,660,2,"['Yuridia', 'Angela Aguilar']",Major
370,147538971.0,3,0,11,72,40,47,66,107,0,1283,1,['The Kid Laroi'],Minor
371,698086140.0,3,1,12,10,57,16,66,109,6,8084,1,['The Weeknd'],Minor
372,723894473.0,7,0,34,10,74,72,84,109,2,2332,1,['Lizzo'],Minor
373,34450974.0,4,0,36,5,81,61,53,148,0,203,1,['Morgan Wallen'],Major
374,403097450.0,5,0,19,17,76,52,60,158,14,685,1,['Fujii Kaze'],Minor
375,309483971.0,6,0,10,6,73,64,74,94,13,2460,2,"['Wisin & Yandel', 'ROSAL�']",Minor
376,319566866.0,4,0,10,35,51,40,70,96,6,288,1,['King'],Minor
377,909001996.0,3,0,12,29,67,29,80,100,33,4572,1,['Bad Bunny'],Minor
378,1061966512.0,4,0,14,1,68,42,58,105,13,6127,2,"['Coldplay', 'BTS']",Major
379,32526947.0,3,0,9,38,66,32,53,125,0,166,1,['Morgan Wallen'],Major
380,124988687.0,27,0,19,13,63,56,56,170,0,1838,1,['ROSAL�'],Minor
381,103787664.0,6,0,41,17,90,84,70,115,0,1890,3,"['Sam Smith', 'Calvin Harris', 'Jessie Reyez']",Major
382,134255790.0,9,0,15,0,89,25,64,122,16,2098,1,['P!nk'],Major
383,301051721.0,8,0,11,8,80,82,88,105,12,761,1,['LE SSERAFIM'],Minor
384,156338624.0,4,0,21,25,84,74,66,133,0,1225,1,['PinkPantheress'],Major
385,152850295.0,4,0,26,7,68,60,79,100,2,415,2,"['TAEYANG', 'Jimin']",Major
386,309653982.0,10,3,9,15,45,55,82,120,0,3469,1,['SZA'],Minor
387,297328960.0,3,0,13,90,30,17,25,177,0,3311,1,['Rihanna'],Major
388,332506354.0,5,0,9,15,72,31,64,142,0,2616,1,['Lil Nas X'],Minor
389,480507035.0,4,1,52,1,84,47,57,144,16,3006,1,['Beach Weather'],Minor
390,1065580332.0,10,0,19,9,86,80,65,120,0,4260,2,"['Halsey', 'BTS']",Minor
391,122763672.0,6,0,15,55,51,73,92,135,0,482,1,['Baby Tate'],Major
392,445763624.0,4,0,12,38,78,82,81,107,10,4013,1,['R��'],Major
393,1365184.0,7,0,33,10,74,62,82,105,4,138,6,"['Arijit Singh', 'Vishal Dadlani', 'Sukriti Kakar', 'Vishal-Shekhar', 'Shekhar Ravjiani', 'Kumaar']",Major
394,184308753.0,20,0,9,9,77,38,44,108,0,1368,2,"['RAYE', '070 Shake']",Minor
395,789753877.0,3,13,14,22,79,62,51,147,4,17852,1,['Beach House'],Minor
396,323358833.0,4,0,44,16,88,34,71,115,20,889,3,"['BTS', 'Jung Kook', 'FIFA Sound']",Major
397,606361689.0,32,0,8,23,64,57,70,174,9,4796,2,"['Shakira', 'Rauw Alejandro']",Major
398,120972253.0,8,0,31,3,71,83,68,90,6,658,3,"['Steve Aoki', 'Tini', 'La Joaqui']",Minor
